rank,place,population,lat,lon,growth,state
1,New York,8550405,40.71455,-74.007124,4.80%,New York
2,Los Angeles,3971883,34.05349,-118.245319,4.80%,California
3,Chicago,2720546,41.88415,-87.632409,-6.10%,Illinois
4,Houston,2296224,29.76045,-95.369784,11.00%,Texas
5,Philadelphia,1567442,39.95228,-75.162454,2.60%,Pennsylvania
6,Phoenix,1563025,33.44826,-112.075774,14.00%,Arizona
7,San Antonio,1469845,29.42449,-98.494619,21.00%,Texas
8,San Diego,1394928,32.715695,-117.161719,10.50%,California
9,Dallas,1300092,32.778155,-96.795404,5.60%,Texas
10,San Jose,1026908,37.338475,-121.885794,10.50%,California
11,Austin,931830,30.267605,-97.742984,31.70%,Texas
12,Jacksonville,868031,30.33147,-81.656219,14.30%,Florida
13,San Francisco,864816,37.777125,-122.419644,7.70%,California
14,Indianapolis,853173,39.76691,-86.149964,7.80%,Indiana
15,Columbus,850106,39.96196,-83.002984,14.80%,Ohio
16,Fort Worth,833319,32.748855,-97.329389,45.10%,Texas
17,Charlotte,827097,35.22269,-80.837764,39.10%,North Carolina
18,Seattle,684451,47.60356,-122.329439,15.60%,Washington
19,Denver,682545,39.74001,-104.992259,16.70%,Colorado
20,El Paso,681124,31.759165,-106.487494,19.40%,Texas
21,Detroit,677116,42.331685,-83.047924,-27.10%,Michigan
22,Washington,672228,38.89037,-77.031959,13.00%,District of Columbia
23,Boston,667137,42.358635,-71.056699,9.40%,Massachusetts
24,Memphis,655770,35.149766,-90.049259,-5.30%,Tennessee
25,Nashville-Davidson,654610,36.167783,-86.778365,16.20%,Tennessee
26,Portland,632309,45.511795,-122.675629,15.00%,Oregon
27,Oklahoma City,631346,35.472015,-97.520354,20.20%,Oklahoma
28,Las Vegas,623747,36.171915,-115.139974,24.50%,Nevada
29,Baltimore,621849,39.290585,-76.609264,-4.00%,Maryland
30,Louisville/Jefferson County,615366,38.25486,-85.766404,10.00%,Kentucky
31,Milwaukee,600155,43.04181,-87.906844,30.00%,Wisconsin
32,Albuquerque,559121,35.08418,-106.648639,23.50%,Texas
33,Tucson,531641,32.221553,-110.969754,7.50%,Arizona
34,Fresno,520052,36.740685,-119.785734,18.30%,California
35,Sacramento,490712,38.579065,-121.491014,17.20%,California
36,Kansas City,475378,39.11338,-94.626824,5.50%,Missouri
37,Long Beach,474140,33.766725,-118.192399,1.50%,California
38,Mesa,471825,33.417045,-111.831459,13.50%,Arizona
39,Atlanta,463878,33.748315,-84.391109,6.20%,Georgia
40,Colorado Springs,456568,38.83345,-104.821814,21.40%,Colorado
41,Virginia Beach,452745,36.75502,-76.059204,5.10%,Virginia
42,Raleigh,451066,35.78551,-78.642669,48.70%,North Carolina
43,Omaha,443885,41.260675,-95.940469,5.90%,Nebraska
44,Miami,441003,25.728985,-80.237419,14.90%,Florida
45,Oakland,419267,37.805065,-122.273024,1.30%,California
